household_id,age,gender,education_yrs,household_size,land_size_ha,years_growing_cannabis,distance_to_anrac_km,prior_arrests,household_income_usd,income_post_law_usd,info_access_legal,irrigation_access,food_security,joined_legal_cooperative,willing_stay_legal,income_change_pct,log_income,edu_secondary,any_prior_arrest,distance_quartile,region_Chefchaouen,region_Ouazzane,survey_year,macro_gdp_per_capita,macro_agri_value_added,macro_rural_population,anrac_legal_hectares,anrac_total_licenses,anrac_cooperatives,anrac_pct_legal
19,42,Female,0,2,0.52,10,55.0,1,477.0,455.0,1,1,2,0,,-4.61,6.169610732491456,0,1,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
20,45,Male,9,4,2.4,11,42.2,0,2872.0,2891.0,1,1,2,0,,0.66,7.96311205897929,1,0,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
21,59,Male,6,3,1.58,12,40.7,0,1569.0,1881.0,1,1,3,1,1.0,19.89,7.358830898342354,1,0,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
22,39,Male,6,6,0.12,43,31.4,1,428.0,423.0,1,1,3,0,,-1.17,6.061456918928017,1,1,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
23,56,Male,3,4,0.5,10,71.6,0,629.0,542.0,1,0,2,0,,-13.83,6.4457198193855785,0,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
24,59,Male,0,9,0.1,31,8.1,0,400.0,495.0,1,1,3,1,1.0,23.75,5.993961427306569,0,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
25,35,Male,6,2,0.15,6,34.9,1,400.0,358.0,1,1,2,0,,-10.5,5.993961427306569,1,1,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
26,28,Male,12,5,2.58,32,28.9,0,3061.0,4756.0,0,1,1,1,1.0,55.37,8.026823576217629,1,0,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
27,65,Male,0,9,1.14,15,44.3,1,1285.0,1127.0,1,0,3,0,,-12.3,7.1592919047975645,0,1,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
28,31,Male,6,3,1.59,36,50.1,1,1239.0,1202.0,1,1,3,0,,-2.99,7.122866658599083,1,1,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
29,69,Female,6,6,0.36,18,47.5,1,672.0,580.0,1,0,2,0,,-13.69,6.511745329644728,1,1,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
30,31,Male,6,11,0.43,10,34.3,0,513.0,509.0,0,1,2,0,,-0.78,6.2422232654551655,1,0,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
31,31,Male,3,2,0.1,20,24.1,0,632.0,551.0,0,1,1,0,,-12.82,6.450470422144176,0,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
32,31,Male,0,5,0.19,7,27.2,1,554.0,540.0,1,1,2,0,,-2.53,6.318968113746434,0,1,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
33,37,Female,6,11,0.37,14,21.0,0,412.0,518.0,0,0,2,1,0.0,25.73,6.023447592961033,1,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
34,40,Female,12,5,2.12,36,56.7,1,3807.0,4159.0,0,0,1,0,,9.25,8.244859395911256,1,1,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
35,66,Male,3,3,0.69,12,78.7,1,1351.0,1363.0,0,0,1,0,,0.89,7.20934025660291,0,1,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
36,59,Male,6,3,0.87,9,54.0,0,1397.0,1484.0,1,0,3,0,,6.23,7.242797922793756,1,0,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
37,32,Male,15,8,0.1,5,42.8,2,415.0,452.0,1,1,2,0,,8.92,6.030685260261263,1,1,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
38,35,Female,6,6,0.1,16,75.9,0,668.0,734.0,1,0,3,0,,9.88,6.505784060128229,1,0,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
39,45,Male,6,2,0.1,17,19.2,0,400.0,382.0,0,0,2,0,,-4.5,5.993961427306569,1,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
40,38,Male,6,9,4.14,1,20.5,2,5978.0,6469.0,1,0,2,0,,8.21,8.696008608880904,1,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
41,37,Male,3,8,1.19,32,53.6,0,1120.0,1007.0,1,0,3,0,,-10.09,7.02197642307216,0,0,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
42,62,Male,6,10,1.71,9,30.3,3,2945.0,2981.0,0,0,1,0,,1.22,7.988203597022576,1,1,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
43,68,Male,3,8,1.92,3,51.3,0,3651.0,3611.0,1,0,3,0,,-1.1,8.20303024171486,0,0,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
44,46,Male,6,10,4.28,11,43.5,1,6779.0,7129.0,1,0,3,0,,5.16,8.821732380934442,1,1,Q3,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
45,65,Male,6,2,5.07,18,75.8,0,7756.489999999999,7381.0,0,1,1,0,,-4.84,8.956414107246616,1,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
46,54,Male,0,11,0.95,20,23.6,1,1434.0,1934.0,1,0,3,1,1.0,34.87,7.268920128193722,0,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
47,46,Male,12,6,1.85,10,51.6,0,2707.0,2301.0,1,0,1,0,,-15.0,7.903965634032166,1,0,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
48,55,Male,12,4,0.64,4,59.0,0,1042.0,1071.0,0,1,2,0,,2.78,6.949856455000773,1,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
49,32,Male,0,5,3.28,14,46.2,0,3953.0,3948.0,0,1,2,0,,-0.13,8.282483003730562,0,0,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
50,65,Female,3,6,1.17,36,89.2,0,1351.0,1326.0,0,0,2,0,,-1.85,7.20934025660291,0,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
51,38,Male,9,5,0.23,39,36.0,1,400.0,475.0,0,0,2,1,0.0,18.75,5.993961427306569,1,1,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
52,28,Male,3,4,1.85,36,35.1,1,1597.0,1715.0,0,1,2,0,,7.39,7.37650812632622,0,1,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
53,34,Female,3,11,2.41,26,47.5,0,3514.0,3238.0,1,1,2,0,,-7.85,8.164794804244766,0,0,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
54,45,Male,12,6,0.31,18,60.8,0,519.0,457.0,0,1,2,0,,-11.95,6.253828811575473,1,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
55,29,Male,3,2,0.28,25,6.399,1,400.0,352.0,1,1,1,0,,-12.0,5.993961427306569,0,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
56,40,Male,0,11,0.1,15,50.4,0,400.0,368.0,0,0,2,0,,-8.0,5.993961427306569,0,0,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
57,69,Female,3,4,0.99,24,87.4,1,1232.0,1280.0,1,0,2,0,,3.9,7.117205503164344,0,1,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
58,38,Female,6,10,1.03,34,54.7,1,1307.0,1168.0,1,0,2,0,,-10.64,7.176254532017144,1,1,Q3,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
59,30,Female,12,11,1.5,13,59.9,0,1410.0,1457.0,0,1,1,0,,3.33,7.2520539518528135,1,0,Q4_furthest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
60,38,Male,0,10,0.42,10,29.3,1,400.0,400.0,1,1,2,0,,0.0,5.993961427306569,0,1,Q2,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
61,25,Male,0,8,0.26,35,48.4,0,695.0,698.0,1,1,2,0,,0.43,6.54534966033442,0,0,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
62,56,Male,0,8,0.71,3,21.4,0,1101.0,970.0,1,1,2,0,,-11.9,7.00488198971286,0,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
63,71,Male,3,3,0.21,13,57.3,1,400.0,435.0,1,1,3,0,,8.75,5.993961427306569,0,1,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
64,52,Male,3,6,1.1,16,63.5,0,1579.0,1489.0,0,0,1,0,,-5.7,7.365180126021013,0,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
65,51,Female,6,4,1.26,12,68.4,3,1577.0,1416.0,1,1,3,0,,-10.21,7.363913501405819,1,1,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
66,31,Male,6,3,0.51,7,20.8,3,884.0,1066.0,1,1,1,1,1.0,20.59,6.785587645007929,1,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
67,40,Male,9,8,0.1,27,72.3,1,400.0,419.0,1,1,2,0,,4.75,5.993961427306569,1,1,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
68,72,Male,9,2,0.29,3,22.2,2,488.0,500.0,1,0,2,0,,2.46,6.192362489474872,1,1,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
69,46,Male,3,10,2.69,12,61.3,2,3943.0,4175.0,1,0,1,0,,5.88,8.279950715722526,0,1,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
70,73,Male,9,9,0.65,13,17.8,0,1028.0,1081.0,0,0,1,0,,5.16,6.9363427358340495,1,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
71,57,Male,12,6,0.42,3,16.2,3,400.0,354.0,0,1,2,0,,-11.5,5.993961427306569,1,1,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
72,46,Male,3,7,0.53,12,48.8,0,1149.0,1236.0,0,1,2,0,,7.57,7.047517221357296,0,0,Q3,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
73,69,Female,6,11,1.24,3,53.5,0,1775.0,1650.0,0,0,2,0,,-7.04,7.4821189235521155,1,0,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
74,28,Male,3,5,0.28,25,20.7,0,400.0,387.0,1,1,2,0,,-3.25,5.993961427306569,0,0,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
75,58,Male,9,2,0.95,21,37.0,1,760.0,765.0,1,1,2,0,,0.66,6.634633357861686,1,1,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
76,50,Female,6,5,0.52,42,43.7,1,728.0,636.0,0,0,2,0,,-12.64,6.591673732008658,1,1,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
77,52,Male,6,7,3.88,13,50.5,1,4408.0,4315.0,0,0,3,0,,-2.11,8.391403185357937,1,1,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
78,53,Male,9,5,0.47,3,54.9,0,400.0,342.0,1,0,2,0,,-14.5,5.993961427306569,1,0,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
79,63,Male,3,11,2.0,19,88.2,3,2780.0,2868.0,1,0,1,0,,3.17,7.930565854233965,0,1,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
80,26,Male,3,9,1.03,9,31.1,0,991.0,976.0,1,1,2,0,,-1.51,6.899723107284872,0,0,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
81,74,Male,3,7,1.37,43,54.5,0,1070.0,1109.0,1,0,3,0,,3.64,6.976348070447749,0,0,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
82,26,Male,9,11,0.87,15,6.399,2,1151.0,1054.0,1,0,3,0,,-8.43,7.049254841255837,1,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
83,30,Female,6,3,1.61,2,40.8,1,2219.0,2352.0,1,0,2,0,,5.99,7.705262474866325,1,1,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
84,51,Male,9,7,0.1,9,28.8,2,400.0,393.0,1,1,2,0,,-1.75,5.993961427306569,1,1,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
85,63,Male,12,9,1.36,16,43.9,2,1264.0,1486.0,1,0,3,1,1.0,17.56,7.142827401161621,1,1,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
86,34,Male,0,8,0.88,17,17.7,0,1574.0,1414.0,0,0,3,0,,-10.17,7.362010551259734,0,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
87,71,Male,6,8,0.44,43,6.4,0,766.0,766.0,1,0,2,0,,0.0,6.642486801367256,1,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
88,25,Male,9,5,0.72,27,11.4,1,763.0,724.0,0,1,1,0,,-5.11,6.638567789166521,1,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
89,72,Male,12,4,0.14,12,29.1,0,400.0,350.0,0,0,3,0,,-12.5,5.993961427306569,1,0,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
90,62,Male,9,2,0.7,16,26.0,0,897.0,806.0,0,1,3,0,,-10.14,6.8001700683022,1,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
91,56,Male,6,11,0.65,6,30.3,0,1227.0,1104.0,0,0,2,0,,-10.02,7.113142108707088,1,0,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
92,58,Male,6,4,0.49,27,21.4,0,457.0,420.0,1,0,1,0,,-8.1,6.126869184114185,1,0,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
93,40,Male,12,5,2.58,11,67.2,1,4522.0,4132.0,0,1,1,0,,-8.62,8.416930769477844,1,1,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
94,60,Male,6,8,1.15,30,54.0,0,1726.0,1776.0,1,0,1,0,,2.9,7.454141078146678,1,0,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
95,29,Male,3,6,0.17,5,13.8,0,400.0,420.0,1,0,1,0,,5.0,5.993961427306569,0,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
96,31,Female,12,2,2.88,14,29.0,1,2717.0,4028.0,1,1,3,1,1.0,48.25,7.907651594711089,1,1,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
97,27,Male,6,8,0.55,21,51.8,0,425.0,400.0,1,1,3,0,,-5.88,6.054439346269371,1,0,Q3,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
98,53,Male,12,4,1.7,37,38.6,0,2250.0,1938.0,0,1,2,0,,-13.87,7.719129840906732,1,0,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
99,38,Male,0,2,1.2,8,40.2,0,2139.0,1829.0,0,1,2,0,,-14.49,7.668561108015897,0,0,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
100,33,Male,6,7,2.34,23,44.4,1,3108.0,2894.0,1,0,3,0,,-6.89,8.042056410058754,1,1,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
101,58,Male,12,8,0.92,18,36.0,1,1718.0,1607.0,0,1,2,0,,-6.46,7.449498005382849,1,1,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
102,58,Male,12,2,0.48,31,25.0,0,741.0,870.0,1,0,3,1,1.0,17.41,6.60934924316738,1,0,Q1_nearest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
103,67,Male,6,10,5.331199999999999,2,69.0,1,7756.489999999999,7043.0,1,1,3,0,,-9.2,8.956414107246616,1,1,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
104,58,Male,3,2,0.1,37,79.2,0,400.0,376.0,1,0,3,0,,-6.0,5.993961427306569,0,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
105,61,Male,0,11,0.12,12,15.3,0,400.0,431.0,1,1,2,0,,7.75,5.993961427306569,0,0,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
106,51,Male,3,4,1.76,40,39.7,1,1768.0,1899.0,0,0,2,0,,7.41,7.478169694159785,0,1,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
107,55,Male,15,3,1.22,33,24.6,0,1662.0,2160.0,1,1,2,1,1.0,29.96,7.416378479192928,1,0,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
108,49,Male,0,11,0.1,4,40.8,0,400.0,387.0,0,0,1,0,,-3.25,5.993961427306569,0,0,Q2,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
109,55,Female,6,7,1.59,37,47.1,3,1787.0,1589.0,1,1,2,0,,-11.08,7.488852955733459,1,1,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
110,49,Male,6,8,4.05,10,28.9,0,5457.0,6955.0,1,1,3,1,1.0,27.45,8.604837701268284,1,0,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
111,56,Male,6,5,0.9,22,12.0,3,1676.0,1737.0,1,1,1,0,,3.64,7.424761761823209,1,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
112,61,Male,9,2,0.89,5,55.7,1,1168.0,1240.0,1,1,2,0,,6.16,7.063903961472068,1,1,Q3,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
113,42,Male,12,8,0.48,6,91.1,0,798.0,856.0,1,0,2,0,,7.27,6.683360945766275,1,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
114,34,Male,9,11,0.74,12,33.3,0,1189.0,1295.0,0,1,1,0,,8.92,7.0817085861055755,1,0,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
115,31,Male,3,6,0.16,34,69.1,2,400.0,408.0,1,0,2,0,,2.0,5.993961427306569,0,1,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
116,46,Male,6,4,0.8,15,76.6,0,1318.0,1341.0,0,0,2,0,,1.75,7.1846291527173145,1,0,Q4_furthest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
117,42,Male,3,6,0.85,8,6.5,0,1423.0,1526.0,1,1,1,0,,7.24,7.261225091971921,0,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
118,43,Male,9,6,5.331199999999999,16,18.1,3,7303.0,10781.0,1,0,3,1,1.0,47.62,8.896177422274805,1,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
119,69,Female,0,4,1.32,26,25.3,0,1322.0,1238.0,1,1,1,0,,-6.35,7.187657164114956,0,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
120,72,Male,6,5,5.331199999999999,29,27.9,0,4590.0,6999.0,1,1,3,1,1.0,52.48,8.431853144249223,1,0,Q2,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
121,68,Male,0,4,0.76,33,73.7,3,637.0,690.0,1,0,1,0,,8.32,6.45833828334479,0,1,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
122,64,Male,12,9,3.14,30,92.30199999999999,2,3046.0,2715.0,1,0,2,0,,-10.87,8.021912778985708,1,1,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
123,55,Female,3,3,2.0,44,13.0,1,2044.0,2759.0,1,0,2,1,1.0,34.98,7.623153068476902,0,1,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
124,71,Male,6,10,1.16,33,71.4,0,1100.0,1069.0,0,0,2,0,,-2.82,7.00397413672268,1,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
125,36,Male,0,10,0.33,12,24.4,2,400.0,415.0,1,1,2,0,,3.75,5.993961427306569,0,1,Q1_nearest,False,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
126,60,Female,6,7,0.1,2,7.4,3,400.0,384.0,0,0,2,0,,-4.0,5.993961427306569,1,1,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
127,59,Male,3,6,2.37,4,50.6,0,3905.0,4289.0,1,0,2,0,,9.83,8.270269111436624,0,0,Q3,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
128,63,Male,0,9,0.63,1,90.4,0,1205.0,1172.0,1,1,2,0,,-2.74,7.095064377287131,0,0,Q4_furthest,False,True,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
129,28,Female,3,10,1.11,29,16.8,0,2188.0,2390.0,0,1,1,0,,9.23,7.691200097522863,0,0,Q1_nearest,True,False,2023,3813.72607421875,11.1311743840061,37.326249161122,300,721,68,0.556
